,alpha,beta,K,M,accuracy
0,8,4,40,60,86.15446285408872
1,8,4,40,70,86.17316942811331
2,8,4,40,80,86.1758417958311
3,8,4,50,60,85.99679315873864
4,8,4,50,70,84.79957242116515
5,8,4,50,80,84.80758952431854
6,8,4,60,60,86.9722073757349
7,8,4,60,70,85.77765900587922
8,8,4,60,80,85.7830037413148
9,8,4,70,60,86.98556921432389
10,8,4,70,70,86.99625868519509
11,8,4,70,80,87.00160342063069
12,8,4,80,60,86.9882415820417
13,8,4,80,70,86.99893105291288
14,8,4,80,80,87.00427578834848
15,8,5,40,60,86.21859967931587
16,8,5,40,70,86.22394441475147
17,8,5,40,80,86.32282202031
18,8,5,50,60,84.84767504008552
19,8,5,50,70,84.8530197755211
20,8,5,50,80,84.94922501336184
21,8,5,60,60,85.82041688936398
22,8,5,60,70,85.82576162479957
23,8,5,60,80,85.9219668626403
24,8,5,70,60,87.03901656867986
25,8,5,70,70,87.04436130411544
26,8,5,70,80,87.14056654195618
27,8,5,80,60,87.03901656867986
28,8,5,80,70,87.04436130411544
29,8,5,80,80,87.14323890967397
30,8,3,40,60,85.58257616247997
31,8,3,40,70,85.3901656867985
32,8,3,40,80,85.39818278995189
33,8,3,50,60,84.23035809727418
34,8,3,50,70,84.02993051843933
35,8,3,50,80,84.03527525387493
36,8,3,60,60,85.20577231427045
37,8,3,60,70,85.0053447354356
38,8,3,60,80,85.0080171031534
39,8,3,70,60,86.42169962586851
40,8,3,70,70,86.22928915018706
41,8,3,70,80,86.22661678246926
42,8,3,80,60,86.41635489043293
43,8,3,80,70,86.22661678246926
44,8,3,80,80,86.22394441475147
45,9,4,40,60,86.3281667557456
46,9,4,40,70,85.76162479957242
47,9,4,40,80,85.76696953500802
48,9,4,50,60,85.36611437733832
49,9,4,50,70,84.81293425975414
50,9,4,50,80,84.81827899518973
51,9,4,60,60,87.10315339390701
52,9,4,60,70,86.54997327632282
53,9,4,60,80,86.55531801175842
54,9,4,70,60,87.09780865847141
55,9,4,70,70,87.10849812934259
56,9,4,70,80,87.11384286477819
57,9,4,80,60,87.48262960983432
58,9,4,80,70,87.4933190807055
59,9,4,80,80,87.4986638161411
60,9,5,40,60,86.37626937466595
61,9,5,40,70,86.38161411010155
62,9,5,40,80,86.48049171566008
63,9,5,50,60,85.42223409941208
64,9,5,50,70,85.42757883484768
65,9,5,50,80,85.52645644040619
66,9,5,60,60,87.15927311598077
67,9,5,60,70,87.16461785141635
68,9,5,60,80,87.26349545697488
69,9,5,70,60,87.15392838054517
70,9,5,70,70,87.15927311598077
71,9,5,70,80,87.25815072153928
72,9,5,80,60,87.53874933190808
73,9,5,80,70,87.54409406734366
74,9,5,80,80,87.64297167290219
75,9,3,40,60,85.73757349011224
76,9,3,40,70,85.54516301443078
77,9,3,40,80,85.55318011758418
78,9,3,50,60,84.79690005344736
79,9,3,50,70,84.6178514163549
80,9,3,50,80,84.60448957776589
81,9,3,60,60,86.53126670229824
82,9,3,60,70,86.33885622661678
83,9,3,60,80,86.34152859433458
84,9,3,70,60,86.52592196686264
85,9,3,70,70,86.33618385889899
86,9,3,70,80,86.3335114911812
87,9,3,80,60,86.91074291822555
88,9,3,80,70,86.72100481026189
89,9,3,80,80,86.7183324425441
90,10,4,40,60,86.3174772848744
91,10,4,40,70,85.75093532870123
92,10,4,40,80,85.75628006413683
93,10,4,50,60,86.07963655799038
94,10,4,50,70,85.5237840726884
95,10,4,50,80,85.529128808124
96,10,4,60,60,87.6349545697488
97,10,4,60,70,87.06841261357563
98,10,4,60,80,87.07375734901123
99,10,4,70,60,87.65098877605558
100,10,4,70,70,87.65098877605558
101,10,4,70,80,87.65633351149118
102,10,4,80,60,88.8107963655799
103,10,4,80,70,88.8214858364511
104,10,4,80,80,88.82950293960448
105,10,5,40,60,86.36557990379477
106,10,5,40,70,86.36825227151256
107,10,5,40,80,86.47247461250667
108,10,5,50,60,86.13575628006413
109,10,5,50,70,86.14110101549973
110,10,5,50,80,86.24265098877606
111,10,5,60,60,87.68038482095136
112,10,5,60,70,87.68572955638696
113,10,5,60,80,87.78995189738109
114,10,5,70,60,87.69641902725816
115,10,5,70,70,87.70176376269376
116,10,5,70,80,87.80331373597006
117,10,5,80,60,88.86958845537146
118,10,5,80,70,88.87493319080706
119,10,5,80,80,88.97381079636558
120,10,3,40,60,85.70283270978086
121,10,3,40,70,85.5344735435596
122,10,3,40,80,85.5237840726884
123,10,3,50,60,85.50507749866382
124,10,3,50,70,85.32335649385355
125,10,3,50,80,85.30999465526456
126,10,3,60,60,87.04970603955104
127,10,3,60,70,86.85462319615179
128,10,3,60,80,86.85729556386958
129,10,3,70,60,87.06306787814003
130,10,3,70,70,86.87332977017638
131,10,3,70,80,86.87600213789418
132,10,3,80,60,88.22822020309995
133,10,3,80,70,88.0358097274185
134,10,3,80,80,88.04115446285408
