,ws,gamma,c,accuracy
0,30,scale,0.1,0.7448147618366471
1,30,auto,0.1,0.7435989128879988
2,30,0.1,0.1,0.7619081676441138
3,30,1,0.1,0.8096123587469604
4,30,5,0.1,0.6580603633242741
5,30,10,0.1,0.5788156200829638
6,30,scale,0.5,0.7796452581891002
7,30,auto,0.5,0.7777857245029324
8,30,0.1,0.5,0.794807609784008
9,30,1,0.5,0.820841081390359
10,30,5,0.5,0.7870833929337719
11,30,10,0.5,0.6650693749105994
12,30,scale,1.0,0.7913031039908454
13,30,auto,1.0,0.7894435703046775
14,30,0.1,1.0,0.8048204834787585
15,30,1,1.0,0.8238449434987841
16,30,5,1.0,0.8026033471606351
17,30,10,1.0,0.7294378486625661
18,30,scale,1.5,0.7980975539979974
19,30,auto,1.5,0.7964525818910028
20,30,0.1,1.5,0.8084680303247032
21,30,1,1.5,0.8248462308682591
22,30,5,1.5,0.8043913603204119
23,30,10,1.5,0.7555428407953082
24,30,scale,2.0,0.8019596624231154
25,30,auto,2.0,0.8009583750536404
26,30,0.1,2.0,0.811185810327564
27,30,1,2.0,0.8264196824488628
28,30,5,2.0,0.798669718209126
29,30,10,2.0,0.7566871692175654
30,30,scale,3.0,0.8061793734801889
31,30,auto,3.0,0.8053926476898869
32,30,0.1,3.0,0.8154770419110284
33,30,1,3.0,0.8281361750822486
34,30,5,3.0,0.7935202403089687
